family,domain,model,task_id,trial,seed,success,cost,steps,duration,assistant_messages,termination,repository
tau2,airline,Claude-3.7,42,0,626729,1.0,0.37638,10,58.51394020800217,16,user_stop,
tau2,airline,Claude-3.7,45,0,626729,0.0,0.13984499999999997,3,32.27457145899825,8,user_stop,
tau2,airline,Claude-3.7,43,0,626729,0.0,0.362352,9,55.50812012499955,16,user_stop,
tau2,airline,Claude-3.7,0,1,373753,0.0,0.11634900000000001,3,22.166120084002614,7,user_stop,
tau2,airline,Claude-3.7,49,0,626729,0.0,0.16834500000000002,4,39.78591445799975,9,user_stop,
tau2,airline,Claude-3.7,47,0,626729,1.0,0.200154,2,56.88224987499416,10,user_stop,
tau2,airline,Claude-3.7,48,0,626729,1.0,0.47593499999999994,13,65.05386125000223,19,user_stop,
tau2,airline,Claude-3.7,1,1,373753,0.0,0.24640800000000002,7,34.94959358399501,12,user_stop,
tau2,airline,Claude-3.7,3,1,373753,1.0,0.11624999999999999,3,24.13852166700235,7,user_stop,
tau2,airline,Claude-3.7,44,0,626729,1.0,1.1639850000000003,33,134.05421204100276,38,user_stop,
tau2,airline,Claude-3.7,2,1,373753,1.0,0.34550400000000003,9,56.669209457999386,16,user_stop,
tau2,airline,Claude-3.7,6,1,373753,1.0,0.11818200000000001,1,34.81196245900355,7,user_stop,
tau2,airline,Claude-3.7,5,1,373753,0.0,0.32167199999999996,7,60.116248540995,15,user_stop,
tau2,airline,Claude-3.7,4,1,373753,1.0,0.41884199999999994,12,82.22811374999583,18,user_stop,
tau2,airline,Claude-3.7,8,1,373753,1.0,0.28935600000000006,8,54.76633741600381,13,user_stop,
tau2,airline,Claude-3.7,7,1,373753,0.0,0.5108670000000001,13,83.2828988340043,19,user_stop,
tau2,airline,Claude-3.7,9,1,373753,0.0,0.42743700000000007,11,74.10923983300017,18,user_stop,
tau2,airline,Claude-3.7,11,1,373753,1.0,0.256263,7,52.71314733399777,12,user_stop,
tau2,airline,Claude-3.7,12,1,373753,0.0,0.406596,7,86.25394491600309,17,user_stop,
tau2,airline,Claude-3.7,13,1,373753,1.0,0.41902500000000004,11,73.25190479100274,17,user_stop,
tau2,airline,Claude-3.7,10,1,373753,0.0,0.8745870000000001,19,131.4000212500032,30,user_stop,
tau2,airline,Claude-3.7,15,1,373753,0.0,0.37845900000000005,8,62.00415895799961,14,user_stop,
tau2,airline,Claude-3.7,14,1,373753,0.0,0.5222910000000001,12,78.5124884159959,21,user_stop,
tau2,airline,Claude-3.7,17,1,373753,1.0,0.284319,8,45.15052675000334,13,user_stop,
tau2,airline,Claude-3.7,16,1,373753,1.0,0.28684500000000007,6,49.943703207994986,12,user_stop,
tau2,airline,Claude-3.7,19,1,373753,1.0,0.310611,7,52.287040957999125,14,user_stop,
tau2,airline,Claude-3.7,20,1,373753,1.0,0.470226,7,75.54993320899666,19,user_stop,
tau2,airline,Claude-3.7,21,1,373753,0.0,0.43629900000000005,12,64.25239624999813,17,user_stop,
tau2,airline,Claude-3.7,22,1,373753,1.0,0.437115,12,66.11766870899737,18,user_stop,
tau2,airline,Claude-3.7,18,1,373753,1.0,0.967665,24,121.18485679099831,29,user_stop,
tau2,airline,Claude-3.7,26,1,373753,0.0,0.166557,4,37.64339687499887,9,user_stop,
tau2,airline,Claude-3.7,25,1,373753,1.0,0.21975300000000003,4,47.29800945799798,10,user_stop,
tau2,airline,Claude-3.7,23,1,373753,0.0,0.6610260000000001,15,108.85269074999815,23,user_stop,
tau2,airline,Claude-3.7,24,1,373753,1.0,0.47463000000000005,12,77.68075875000068,20,user_stop,
tau2,airline,Claude-3.7,28,1,373753,1.0,0.165369,5,33.80365624999831,9,user_stop,
tau2,airline,Claude-3.7,27,1,373753,0.0,0.398004,12,55.77122529200278,17,user_stop,
tau2,airline,Claude-3.7,29,1,373753,0.0,0.29078400000000004,8,56.98977204199764,13,user_stop,
tau2,airline,Claude-3.7,31,1,373753,1.0,0.19139400000000004,5,41.33025691600051,10,user_stop,
tau2,airline,Claude-3.7,30,1,373753,1.0,0.22727699999999998,4,50.825920625000435,11,user_stop,
tau2,airline,Claude-3.7,33,1,373753,0.0,0.218346,4,48.82543308300228,11,user_stop,
tau2,airline,Claude-3.7,36,1,373753,1.0,0.118779,4,26.06522791700263,7,user_stop,
tau2,airline,Claude-3.7,32,1,373753,0.0,0.383373,11,65.85293999999703,16,user_stop,
tau2,airline,Claude-3.7,34,1,373753,1.0,0.23003400000000002,5,47.07739612500154,11,user_stop,
tau2,airline,Claude-3.7,40,1,373753,1.0,0.116187,2,23.812554165997426,7,user_stop,
tau2,airline,Claude-3.7,37,1,373753,0.0,0.3411060000000001,9,63.26229658299417,15,user_stop,
tau2,airline,Claude-3.7,35,1,373753,0.0,0.443073,6,106.45906833399931,17,user_stop,
tau2,airline,Claude-3.7,38,1,373753,0.0,0.468873,12,75.14055441699747,20,user_stop,
tau2,airline,Claude-3.7,39,1,373753,0.0,0.48877200000000004,15,75.97891987500043,19,user_stop,
tau2,airline,Claude-3.7,41,1,373753,0.0,0.339222,10,56.54509520799911,15,user_stop,
tau2,airline,Claude-3.7,45,1,373753,0.0,0.119097,3,27.848466041999927,7,user_stop,
tau2,airline,Claude-3.7,42,1,373753,1.0,0.34219200000000005,10,66.66806083300617,15,user_stop,
tau2,airline,Claude-3.7,43,1,373753,0.0,0.27020099999999997,8,43.82007591600268,13,user_stop,
tau2,airline,Claude-3.7,46,1,373753,1.0,0.138,3,29.297027707994857,8,user_stop,
tau2,airline,Claude-3.7,47,1,373753,0.0,0.140466,3,26.475786625000183,8,user_stop,
tau2,airline,Claude-3.7,0,2,361454,0.0,0.160563,3,28.56485291699937,9,user_stop,
tau2,airline,Claude-3.7,49,1,373753,1.0,0.165408,4,32.56042008299846,9,user_stop,
tau2,airline,Claude-3.7,48,1,373753,0.0,0.211596,5,36.03636033299699,11,user_stop,
tau2,airline,Claude-3.7,44,1,373753,1.0,0.7030770000000001,19,93.13745774999552,25,user_stop,
tau2,airline,Claude-3.7,1,2,361454,0.0,0.24636000000000005,7,33.71950775000005,12,user_stop,
tau2,airline,Claude-3.7,3,2,361454,1.0,0.16311,4,29.820576499994786,9,user_stop,
tau2,airline,Claude-3.7,6,2,361454,1.0,0.098013,1,27.86825591699744,6,user_stop,
tau2,airline,Claude-3.7,2,2,361454,1.0,0.29396999999999995,7,50.54635154100106,14,user_stop,
tau2,airline,Claude-3.7,5,2,361454,1.0,0.265764,7,51.2188152910021,13,user_stop,
tau2,airline,Claude-3.7,4,2,361454,1.0,0.408054,11,67.50929470799747,18,user_stop,
tau2,airline,Claude-3.7,7,2,361454,0.0,0.4116900000000001,10,62.154829082996,17,user_stop,
tau2,airline,Claude-3.7,9,2,361454,0.0,0.27941099999999996,8,49.84507254199707,13,user_stop,
tau2,airline,Claude-3.7,8,2,361454,1.0,0.31709400000000004,8,57.56572920799954,14,user_stop,
tau2,airline,Claude-3.7,11,2,361454,1.0,0.260277,7,59.99645349999628,12,user_stop,
tau2,airline,Claude-3.7,14,2,361454,0.0,0.33174000000000003,7,158.40033004200086,13,user_stop,
tau2,airline,Claude-3.7,13,2,361454,1.0,0.402372,11,164.23883775000286,17,user_stop,
tau2,airline,Claude-3.7,12,2,361454,0.0,0.5391269999999999,12,185.76683749999938,22,user_stop,
tau2,airline,Claude-3.7,15,2,361454,0.0,0.37383299999999997,8,153.67218966699875,14,user_stop,
tau2,airline,Claude-3.7,10,2,361454,0.0,0.757512,14,233.51992829200026,25,user_stop,
tau2,airline,Claude-3.7,16,2,361454,0.0,0.285345,6,48.36340133300109,12,user_stop,
tau2,airline,Claude-3.7,17,2,361454,1.0,0.28349700000000005,8,48.772531000002346,13,user_stop,
tau2,airline,Claude-3.7,19,2,361454,1.0,0.26792699999999997,5,50.39758637500199,13,user_stop,
tau2,airline,Claude-3.7,22,2,361454,0.0,0.12027000000000002,2,25.43173250000109,7,user_stop,
tau2,airline,Claude-3.7,18,2,361454,1.0,0.543537,15,72.14261366699793,20,user_stop,
tau2,airline,Claude-3.7,20,2,361454,0.0,0.435666,7,78.9711389160002,18,user_stop,
tau2,airline,Claude-3.7,21,2,361454,1.0,0.653163,17,89.38862066600268,22,user_stop,
tau2,airline,Claude-3.7,23,2,361454,0.0,0.31038000000000004,7,65.49828191599954,13,user_stop,
tau2,airline,Claude-3.7,26,2,361454,0.0,0.18810000000000002,4,39.15044283300085,10,user_stop,
tau2,airline,Claude-3.7,25,2,361454,1.0,0.31876499999999997,7,70.02604154100118,14,user_stop,
tau2,airline,Claude-3.7,24,2,361454,0.0,0.6009720000000001,14,101.6237135420015,23,user_stop,
tau2,airline,Claude-3.7,28,2,361454,1.0,0.191235,3,44.24215129100048,10,user_stop,
tau2,airline,Claude-3.7,30,2,361454,1.0,0.198,3,43.916685458003485,10,user_stop,
tau2,airline,Claude-3.7,27,2,361454,0.0,0.39015,12,67.35397583300073,17,user_stop,
tau2,airline,Claude-3.7,29,2,361454,0.0,0.33307499999999995,7,62.83748920800281,14,user_stop,
tau2,airline,Claude-3.7,31,2,361454,1.0,0.250071,7,43.84442954100086,12,user_stop,
tau2,airline,Claude-3.7,32,2,361454,0.0,0.34146000000000004,9,67.19803629200032,15,user_stop,
tau2,airline,Claude-3.7,34,2,361454,1.0,0.246762,6,51.68331512500299,12,user_stop,
tau2,airline,Claude-3.7,36,2,361454,0.0,0.234075,6,48.32195433299785,11,user_stop,
tau2,airline,Claude-3.7,35,2,361454,0.0,0.341436,6,69.15664645900688,14,user_stop,
tau2,airline,Claude-3.7,33,2,361454,0.0,0.444195,9,80.81575804200111,18,user_stop,
tau2,airline,Claude-3.7,40,2,361454,1.0,0.11671200000000001,2,22.600815124998917,7,user_stop,
tau2,airline,Claude-3.7,37,2,361454,0.0,0.30406500000000003,9,53.62839137500123,14,user_stop,
tau2,airline,Claude-3.7,38,2,361454,1.0,0.324321,8,50.39764175000164,15,user_stop,
tau2,airline,Claude-3.7,41,2,361454,0.0,0.313845,9,43.997701458996744,14,user_stop,
tau2,airline,Claude-3.7,39,2,361454,0.0,0.489369,15,61.315183999999135,19,user_stop,
tau2,airline,Claude-3.7,42,2,361454,1.0,0.34461300000000006,10,49.47203416699631,15,user_stop,
tau2,airline,Claude-3.7,43,2,361454,0.0,0.27492300000000003,8,41.42098741699738,13,user_stop,
tau2,airline,Claude-3.7,45,2,361454,0.0,0.142773,3,29.255719291002606,8,user_stop,
tau2,airline,Claude-3.7,46,2,361454,1.0,0.143754,3,34.823414291997324,8,user_stop,
tau2,airline,Claude-3.7,49,2,361454,1.0,0.14411400000000002,4,29.760841458999494,8,user_stop,
tau2,airline,Claude-3.7,47,2,361454,1.0,0.17824500000000001,2,50.212597040997935,9,user_stop,
tau2,airline,Claude-3.7,48,2,361454,1.0,0.243888,6,51.03455025000585,12,user_stop,
tau2,airline,Claude-3.7,0,3,1567,1.0,0.16413600000000003,3,36.19176699999662,9,user_stop,
tau2,airline,Claude-3.7,3,3,1567,1.0,0.11744700000000001,3,22.834881082999345,7,user_stop,
tau2,airline,Claude-3.7,1,3,1567,0.0,0.246996,7,40.532094540998514,12,user_stop,
tau2,airline,Claude-3.7,44,2,361454,1.0,1.1934809999999998,28,135.38201695799944,34,user_stop,
tau2,airline,Claude-3.7,6,3,1567,1.0,0.119739,1,36.82290491700405,7,user_stop,
tau2,airline,Claude-3.7,2,3,1567,1.0,0.373035,9,73.2044496669987,17,user_stop,
tau2,airline,Claude-3.7,4,3,1567,1.0,0.36471600000000015,10,78.63043420800386,16,user_stop,
tau2,airline,Claude-3.7,5,3,1567,0.0,0.30011999999999994,7,60.541554750001524,14,user_stop,
tau2,airline,Claude-3.7,8,3,1567,1.0,0.347679,9,63.79311712500203,15,user_stop,
tau2,airline,Claude-3.7,9,3,1567,0.0,0.4413210000000001,11,76.17046587499499,18,user_stop,
tau2,airline,Claude-3.7,11,3,1567,1.0,0.37878000000000006,9,64.22642158300005,16,user_stop,
tau2,airline,Claude-3.7,7,3,1567,0.0,1.121463,24,121.94556262499827,31,user_stop,
tau2,airline,Claude-3.7,13,3,1567,1.0,0.094962,2,19.29424966700026,6,user_stop,
tau2,airline,Claude-3.7,10,3,1567,1.0,0.476157,9,109.60507062500255,18,user_stop,
tau2,airline,Claude-3.7,12,3,1567,0.0,0.40630499999999997,7,74.73705545799749,17,user_stop,
tau2,airline,Claude-3.7,16,3,1567,0.0,0.279657,6,44.324652042007074,12,user_stop,
tau2,airline,Claude-3.7,15,3,1567,0.0,0.3822539999999999,8,60.063993292002124,14,user_stop,
tau2,airline,Claude-3.7,14,3,1567,0.0,0.42047399999999996,8,69.62710729100218,16,user_stop,
tau2,airline,Claude-3.7,17,3,1567,1.0,0.25819800000000004,8,39.268514832998335,12,user_stop,
tau2,airline,Claude-3.7,19,3,1567,1.0,0.14359500000000003,3,29.89249804100109,8,user_stop,
tau2,airline,Claude-3.7,22,3,1567,0.0,0.120393,2,27.959935708997364,7,user_stop,
tau2,airline,Claude-3.7,21,3,1567,0.0,0.46977599999999997,13,63.91672670799744,18,user_stop,
tau2,airline,Claude-3.7,20,3,1567,1.0,0.38925600000000005,7,73.91393983399757,16,user_stop,
tau2,airline,Claude-3.7,18,3,1567,1.0,1.004565,25,107.34590866599319,30,user_stop,
tau2,airline,Claude-3.7,25,3,1567,1.0,0.221454,4,47.2543638749994,10,user_stop,
tau2,airline,Claude-3.7,26,3,1567,0.0,0.21385500000000002,6,38.00909049999609,11,user_stop,
tau2,airline,Claude-3.7,23,3,1567,0.0,0.47264999999999996,11,76.4441677079958,18,user_stop,
tau2,airline,Claude-3.7,27,3,1567,0.0,0.42067800000000005,12,57.49978458300029,18,user_stop,
tau2,airline,Claude-3.7,28,3,1567,1.0,0.18795299999999998,5,43.01169329199911,10,user_stop,
tau2,airline,Claude-3.7,29,3,1567,1.0,0.23224200000000003,6,46.07441120799922,11,user_stop,
tau2,airline,Claude-3.7,30,3,1567,1.0,0.19816199999999998,4,45.382709750003414,10,user_stop,
tau2,airline,Claude-3.7,31,3,1567,1.0,0.286236,7,54.453781207994325,13,user_stop,
tau2,airline,Claude-3.7,32,3,1567,0.0,0.284967,8,76.19654150000133,13,user_stop,
tau2,airline,Claude-3.7,35,3,1567,0.0,0.34209,6,96.14448224999796,14,user_stop,
tau2,airline,Claude-3.7,24,3,1567,0.0,0.437094,12,99.47398366700509,18,user_stop,
tau2,airline,Claude-3.7,33,3,1567,0.0,0.6022440000000001,13,135.00849400000152,22,user_stop,
tau2,airline,Claude-3.7,36,3,1567,0.0,0.237309,6,62.897798541001976,11,user_stop,
tau2,airline,Claude-3.7,38,3,1567,0.0,0.21805199999999997,7,46.836360458000854,11,user_stop,
tau2,airline,Claude-3.7,34,3,1567,0.0,0.683682,14,160.68513849999727,24,user_stop,
tau2,airline,Claude-3.7,40,3,1567,1.0,0.11436900000000003,2,30.98374004100333,7,user_stop,
tau2,airline,Claude-3.7,37,3,1567,0.0,0.41475,10,99.87249933299609,17,user_stop,
tau2,airline,Claude-3.7,42,3,1567,1.0,0.34284,10,65.58732783299638,15,user_stop,
tau2,airline,Claude-3.7,45,3,1567,0.0,0.16457700000000003,3,46.68107079099718,9,user_stop,
tau2,airline,Claude-3.7,41,3,1567,0.0,0.335433,9,61.78551816700201,15,user_stop,
tau2,airline,Claude-3.7,43,3,1567,0.0,0.27324600000000004,8,63.38184770799853,13,user_stop,
tau2,airline,Claude-3.7,39,3,1567,0.0,0.41463600000000006,13,77.9364807910024,17,user_stop,
tau2,airline,Claude-3.7,46,3,1567,1.0,0.141543,3,41.73656249999476,8,user_stop,
tau2,airline,Claude-3.7,47,3,1567,0.0,0.139038,3,32.10247129199706,8,user_stop,
tau2,airline,Claude-3.7,48,3,1567,0.0,0.165159,4,44.543705500000215,9,user_stop,
tau2,airline,Claude-3.7,49,3,1567,1.0,0.16545900000000002,4,44.414012000001094,9,user_stop,
tau2,airline,Claude-3.7,44,3,1567,1.0,1.156539,33,187.16387241699704,38,user_stop,
tau2,retail,Claude-3.7,6,0,626729,1.0,0.30162,6,61.585657249997894,14,user_stop,
tau2,retail,Claude-3.7,2,0,626729,1.0,0.400356,10,63.87990045799961,17,user_stop,
tau2,retail,Claude-3.7,1,0,626729,1.0,0.298656,6,64.7131371659998,14,user_stop,
tau2,retail,Claude-3.7,4,0,626729,0.0,0.36691500000000005,11,65.48838791600429,16,user_stop,
tau2,retail,Claude-3.7,0,0,626729,0.0,0.29511,6,66.2476977089973,13,user_stop,
tau2,retail,Claude-3.7,3,0,626729,1.0,0.4053750000000001,11,67.76928687499458,17,user_stop,
tau2,retail,Claude-3.7,9,0,626729,1.0,0.36213000000000006,6,69.82027099999686,16,user_stop,
tau2,retail,Claude-3.7,5,0,626729,1.0,0.4320900000000001,8,71.17452879199845,18,user_stop,
tau2,retail,Claude-3.7,8,0,626729,1.0,0.35546700000000003,6,77.39606100000674,16,user_stop,
tau2,retail,Claude-3.7,7,0,626729,1.0,0.44878500000000004,9,78.56007341599616,18,user_stop,
tau2,retail,Claude-3.7,17,0,626729,1.0,0.150696,3,31.102999082999304,9,user_stop,
tau2,retail,Claude-3.7,14,0,626729,1.0,0.21034800000000003,6,38.30238579199795,11,user_stop,
tau2,retail,Claude-3.7,10,0,626729,1.0,0.18354,5,44.11107549999724,10,user_stop,
tau2,retail,Claude-3.7,15,0,626729,0.0,0.274917,7,47.98050274999696,13,user_stop,
tau2,retail,Claude-3.7,13,0,626729,1.0,0.239898,6,51.01958279200335,12,user_stop,
tau2,retail,Claude-3.7,12,0,626729,0.0,0.291615,7,54.79409462500189,14,user_stop,
tau2,retail,Claude-3.7,11,0,626729,1.0,0.319947,6,64.95998804199917,15,user_stop,
tau2,retail,Claude-3.7,16,0,626729,1.0,0.331584,8,60.711380166998424,15,user_stop,
tau2,retail,Claude-3.7,18,0,626729,1.0,0.31189500000000003,6,55.59767516700231,15,user_stop,
tau2,retail,Claude-3.7,19,0,626729,1.0,0.39663899999999996,10,61.890395791997435,16,user_stop,
tau2,retail,Claude-3.7,24,0,626729,1.0,0.24831000000000003,6,48.459789792002994,13,user_stop,
tau2,retail,Claude-3.7,21,0,626729,1.0,0.33302699999999996,8,60.512454874995456,15,user_stop,
tau2,retail,Claude-3.7,25,0,626729,1.0,0.27771300000000004,7,48.846043166995514,14,user_stop,
tau2,retail,Claude-3.7,26,0,626729,1.0,0.234732,7,44.22648120800295,12,user_stop,
tau2,retail,Claude-3.7,20,0,626729,0.0,0.46093799999999996,11,72.69777449999674,18,user_stop,
tau2,retail,Claude-3.7,22,0,626729,0.0,0.448977,9,74.46518395900057,20,user_stop,
tau2,retail,Claude-3.7,23,0,626729,1.0,0.42571199999999987,12,69.23997020800016,17,user_stop,
tau2,retail,Claude-3.7,27,0,626729,1.0,0.28737,7,59.518925374999526,13,user_stop,
tau2,retail,Claude-3.7,28,0,626729,0.0,0.36045000000000005,10,73.9897096249988,16,user_stop,
tau2,retail,Claude-3.7,29,0,626729,1.0,0.42753299999999994,10,67.46515316599834,17,user_stop,
tau2,retail,Claude-3.7,34,0,626729,0.0,0.16852799999999998,4,43.492565499997,9,user_stop,
tau2,retail,Claude-3.7,31,0,626729,1.0,0.41963700000000004,9,68.23149037500116,19,user_stop,
tau2,retail,Claude-3.7,33,0,626729,0.0,0.362472,8,70.43885795900133,16,user_stop,
tau2,retail,Claude-3.7,35,0,626729,1.0,0.398187,10,68.39509712500148,17,user_stop,
tau2,retail,Claude-3.7,32,0,626729,1.0,0.47615399999999997,10,87.31681825000123,21,user_stop,
tau2,retail,Claude-3.7,40,0,626729,1.0,0.174276,4,37.678495999993174,10,user_stop,
tau2,retail,Claude-3.7,30,0,626729,1.0,0.568068,12,93.50036679199548,23,user_stop,
tau2,retail,Claude-3.7,36,0,626729,1.0,0.42246300000000003,10,78.42810591700254,18,user_stop,
tau2,retail,Claude-3.7,37,0,626729,1.0,0.47078699999999996,12,75.1566612079987,19,user_stop,
tau2,retail,Claude-3.7,39,0,626729,1.0,0.28448100000000004,7,66.27158712500386,14,user_stop,
tau2,retail,Claude-3.7,38,0,626729,1.0,0.45447000000000004,10,72.68322337499558,19,user_stop,
tau2,retail,Claude-3.7,41,0,626729,1.0,0.302265,9,57.27433141700021,13,user_stop,
tau2,retail,Claude-3.7,43,0,626729,1.0,0.19168200000000002,5,44.4317093330028,10,user_stop,
tau2,retail,Claude-3.7,44,0,626729,1.0,0.20731500000000003,5,41.32502191699314,11,user_stop,
tau2,retail,Claude-3.7,46,0,626729,1.0,0.236256,5,49.139735999997356,12,user_stop,
tau2,retail,Claude-3.7,48,0,626729,1.0,0.25716000000000006,6,51.91128887499508,13,user_stop,
tau2,retail,Claude-3.7,47,0,626729,1.0,0.257862,5,55.55807066700072,13,user_stop,
tau2,retail,Claude-3.7,50,0,626729,1.0,0.18080700000000002,4,39.42910379200475,10,user_stop,
tau2,retail,Claude-3.7,42,0,626729,1.0,0.47395800000000005,10,76.44749449999654,20,user_stop,
tau2,retail,Claude-3.7,45,0,626729,1.0,0.32450700000000005,5,72.944403124995,15,user_stop,
tau2,retail,Claude-3.7,51,0,626729,1.0,0.181422,5,39.16378841700498,10,user_stop,
tau2,retail,Claude-3.7,49,0,626729,0.0,0.33543900000000004,9,58.55694675000268,15,user_stop,
tau2,retail,Claude-3.7,52,0,626729,1.0,0.21209400000000003,5,47.90682741600176,11,user_stop,
tau2,retail,Claude-3.7,53,0,626729,1.0,0.25914000000000004,7,44.83013741600007,13,user_stop,
tau2,retail,Claude-3.7,57,0,626729,1.0,0.227583,5,49.19200691700098,12,user_stop,
tau2,retail,Claude-3.7,60,0,626729,1.0,0.174126,4,39.92763154199929,9,user_stop,
tau2,retail,Claude-3.7,61,0,626729,1.0,0.17334899999999998,5,40.09378354100045,9,user_stop,
tau2,retail,Claude-3.7,58,0,626729,1.0,0.30936300000000005,7,56.76304879199597,13,user_stop,
tau2,retail,Claude-3.7,59,0,626729,0.0,0.21289200000000003,5,49.19817733400123,11,user_stop,
tau2,retail,Claude-3.7,54,0,626729,1.0,0.505668,14,77.4720294170038,21,user_stop,
tau2,retail,Claude-3.7,56,0,626729,1.0,0.38235899999999995,8,71.57337404099962,17,user_stop,
tau2,retail,Claude-3.7,55,0,626729,1.0,0.464676,13,80.11993891600287,19,user_stop,
tau2,retail,Claude-3.7,66,0,626729,0.0,0.15473099999999998,4,35.37743833300192,9,user_stop,
tau2,retail,Claude-3.7,62,0,626729,1.0,0.42978000000000005,11,69.00598479199834,17,user_stop,
tau2,retail,Claude-3.7,68,0,626729,1.0,0.167991,4,35.57177387500269,10,user_stop,
tau2,retail,Claude-3.7,63,0,626729,0.0,0.43252500000000005,10,73.55509208299918,18,user_stop,
tau2,retail,Claude-3.7,67,0,626729,1.0,0.187707,5,39.759943042001396,11,user_stop,
tau2,retail,Claude-3.7,65,0,626729,1.0,0.228225,4,53.24408674999722,12,user_stop,
tau2,retail,Claude-3.7,64,0,626729,1.0,0.2840190000000001,7,54.65485404199717,14,user_stop,
tau2,retail,Claude-3.7,69,0,626729,0.0,0.252768,8,47.58048545799829,13,user_stop,
tau2,retail,Claude-3.7,70,0,626729,1.0,0.251919,8,45.37060300000303,12,user_stop,
tau2,retail,Claude-3.7,73,0,626729,1.0,0.161778,4,32.2502199590017,9,user_stop,
