domain,model_a,model_b,task_hash,trial_a,trial_b,seed_a,seed_b,final_sign,final_decisive_tier,terminal_tick_a,terminal_tick_b,completion_only_tick,certificate_tick,resolved_early,certificate_direction,certificate_possible_decisive_tiers,ordinal_resolution_lead,prefixes_checked
airline,o4-mini,GPT-4.1,0cce58552430,1,2,373753,361454,1,cost,8,8,8,8,False,A_win,cost,0,9
airline,o4-mini,GPT-4.1,0cce58552430,1,3,373753,1567,1,cost,8,8,8,8,False,A_win,cost,0,9
airline,o4-mini,GPT-4.1,0cce58552430,2,0,361454,626729,1,cost,8,8,8,8,False,A_win,cost,0,9
airline,o4-mini,GPT-4.1,0cce58552430,2,1,361454,373753,1,cost,8,8,8,8,False,A_win,cost,0,9
airline,o4-mini,GPT-4.1,0cce58552430,2,3,361454,1567,1,cost,8,8,8,8,False,A_win,cost,0,9
airline,o4-mini,GPT-4.1,0cce58552430,3,0,1567,626729,1,cost,9,8,9,9,False,A_win,cost,0,10
airline,o4-mini,GPT-4.1,0cce58552430,3,1,1567,373753,-1,cost,9,8,9,8,True,B_win,success|cost,1,10
airline,o4-mini,GPT-4.1,0cce58552430,3,2,1567,361454,-1,cost,9,8,9,8,True,B_win,success|cost,1,10
airline,o4-mini,GPT-4.1,dbe3c9ea515a,0,1,626729,373753,-1,cost,15,13,15,13,True,B_win,success|cost,2,16
airline,o4-mini,GPT-4.1,dbe3c9ea515a,0,2,626729,361454,1,success,15,12,15,15,False,A_win,success,0,16
airline,o4-mini,GPT-4.1,dbe3c9ea515a,0,3,626729,1567,-1,cost,15,11,15,13,True,B_win,success|cost,2,16
airline,o4-mini,GPT-4.1,dbe3c9ea515a,1,0,373753,626729,1,cost,6,14,14,6,True,A_win,success|cost,8,15
airline,o4-mini,GPT-4.1,dbe3c9ea515a,1,2,373753,361454,1,success,6,12,12,6,True,A_win,success|cost,6,13
airline,o4-mini,GPT-4.1,dbe3c9ea515a,1,3,373753,1567,1,cost,6,11,11,6,True,A_win,success|cost,5,12
airline,o4-mini,GPT-4.1,dbe3c9ea515a,2,0,361454,626729,1,cost,13,14,14,13,True,A_win,success|cost,1,15
airline,o4-mini,GPT-4.1,dbe3c9ea515a,2,1,361454,373753,1,cost,13,13,13,13,False,A_win,cost,0,14
airline,o4-mini,GPT-4.1,dbe3c9ea515a,2,3,361454,1567,1,cost,13,11,13,13,False,A_win,cost,0,14
airline,o4-mini,GPT-4.1,dbe3c9ea515a,3,0,1567,626729,1,cost,8,14,14,8,True,A_win,success|cost,6,15
airline,o4-mini,GPT-4.1,dbe3c9ea515a,3,1,1567,373753,1,cost,8,13,13,8,True,A_win,success|cost,5,14
airline,o4-mini,GPT-4.1,dbe3c9ea515a,3,2,1567,361454,1,success,8,12,12,8,True,A_win,success|cost,4,13
airline,o4-mini,GPT-4.1,e288659e6fe2,0,1,626729,373753,0,tie,13,11,13,13,False,tie,tie,0,14
airline,o4-mini,GPT-4.1,e288659e6fe2,0,2,626729,361454,0,tie,13,10,13,13,False,tie,tie,0,14
airline,o4-mini,GPT-4.1,e288659e6fe2,0,3,626729,1567,0,tie,13,13,13,13,False,tie,tie,0,14
airline,o4-mini,GPT-4.1,e288659e6fe2,1,0,373753,626729,0,tie,14,12,14,14,False,tie,tie,0,15
airline,o4-mini,GPT-4.1,e288659e6fe2,1,2,373753,361454,0,tie,14,10,14,14,False,tie,tie,0,15
airline,o4-mini,GPT-4.1,e288659e6fe2,1,3,373753,1567,0,tie,14,13,14,14,False,tie,tie,0,15
airline,o4-mini,GPT-4.1,e288659e6fe2,2,0,361454,626729,1,success,14,12,14,14,False,A_win,success,0,15
airline,o4-mini,GPT-4.1,e288659e6fe2,2,1,361454,373753,1,success,14,11,14,14,False,A_win,success,0,15
airline,o4-mini,GPT-4.1,e288659e6fe2,2,3,361454,1567,1,success,14,13,14,14,False,A_win,success,0,15
airline,o4-mini,GPT-4.1,e288659e6fe2,3,0,1567,626729,1,success,7,12,12,7,True,A_win,success|cost,5,13
airline,o4-mini,GPT-4.1,e288659e6fe2,3,1,1567,373753,1,success,7,11,11,8,True,A_win,success|cost|tools,3,12
airline,o4-mini,GPT-4.1,e288659e6fe2,3,2,1567,361454,1,success,7,10,10,7,True,A_win,success|cost,3,11
airline,o4-mini,GPT-4.1,a7079b0d960c,0,1,626729,373753,1,cost,11,11,11,11,False,A_win,cost,0,12
airline,o4-mini,GPT-4.1,a7079b0d960c,0,2,626729,361454,-1,cost,11,7,11,8,True,B_win,success|cost,3,12
airline,o4-mini,GPT-4.1,a7079b0d960c,0,3,626729,1567,1,cost,11,11,11,11,False,A_win,cost,0,12
airline,o4-mini,GPT-4.1,a7079b0d960c,1,0,373753,626729,1,cost,9,9,9,9,False,A_win,cost,0,10
airline,o4-mini,GPT-4.1,a7079b0d960c,1,2,373753,361454,0,tie,9,7,9,9,False,tie,tie,0,10
airline,o4-mini,GPT-4.1,a7079b0d960c,1,3,373753,1567,1,cost,9,11,11,9,True,A_win,success|cost,2,12
airline,o4-mini,GPT-4.1,a7079b0d960c,2,0,361454,626729,-1,cost,10,9,10,9,True,B_win,success|cost,1,11
airline,o4-mini,GPT-4.1,a7079b0d960c,2,1,361454,373753,1,cost,10,11,11,10,True,A_win,success|cost,1,12
airline,o4-mini,GPT-4.1,a7079b0d960c,2,3,361454,1567,1,cost,10,11,11,10,True,A_win,success|cost,1,12
airline,o4-mini,GPT-4.1,a7079b0d960c,3,0,1567,626729,-1,cost,14,9,14,11,True,B_win,success|cost|tools,3,15
airline,o4-mini,GPT-4.1,a7079b0d960c,3,1,1567,373753,1,cost,14,11,14,14,False,A_win,cost,0,15
airline,o4-mini,GPT-4.1,a7079b0d960c,3,2,1567,361454,-1,cost,14,7,14,10,True,B_win,success|cost,4,15
airline,o4-mini,GPT-4.1,25ad1d307a27,0,1,626729,373753,0,tie,20,11,20,20,False,tie,tie,0,21
airline,o4-mini,GPT-4.1,25ad1d307a27,0,2,626729,361454,0,tie,20,13,20,20,False,tie,tie,0,21
airline,o4-mini,GPT-4.1,25ad1d307a27,0,3,626729,1567,0,tie,20,14,20,20,False,tie,tie,0,21
airline,o4-mini,GPT-4.1,25ad1d307a27,1,0,373753,626729,0,tie,22,13,22,22,False,tie,tie,0,23
airline,o4-mini,GPT-4.1,25ad1d307a27,1,2,373753,361454,0,tie,22,13,22,22,False,tie,tie,0,23
airline,o4-mini,GPT-4.1,25ad1d307a27,1,3,373753,1567,0,tie,22,14,22,22,False,tie,tie,0,23
airline,o4-mini,GPT-4.1,25ad1d307a27,2,0,361454,626729,0,tie,12,13,13,13,False,tie,tie,0,14
airline,o4-mini,GPT-4.1,25ad1d307a27,2,1,361454,373753,0,tie,12,11,12,12,False,tie,tie,0,13
airline,o4-mini,GPT-4.1,25ad1d307a27,2,3,361454,1567,0,tie,12,14,14,14,False,tie,tie,0,15
airline,o4-mini,GPT-4.1,25ad1d307a27,3,0,1567,626729,0,tie,7,13,13,13,False,tie,tie,0,14
airline,o4-mini,GPT-4.1,25ad1d307a27,3,1,1567,373753,0,tie,7,11,11,11,False,tie,tie,0,12
airline,o4-mini,GPT-4.1,25ad1d307a27,3,2,1567,361454,0,tie,7,13,13,13,False,tie,tie,0,14
airline,o4-mini,GPT-4.1,6f48203331d5,0,1,626729,373753,-1,success,16,15,16,15,True,B_win,success|cost,1,17
airline,o4-mini,GPT-4.1,6f48203331d5,0,2,626729,361454,-1,success,16,14,16,14,True,B_win,success|cost,2,17
airline,o4-mini,GPT-4.1,6f48203331d5,0,3,626729,1567,-1,success,16,15,16,15,True,B_win,success|cost,1,17
airline,o4-mini,GPT-4.1,6f48203331d5,1,0,373753,626729,-1,cost,15,11,15,13,True,B_win,success|cost,2,16
airline,o4-mini,GPT-4.1,6f48203331d5,1,2,373753,361454,-1,tools,15,14,15,14,True,B_win,success|cost|tools,1,16
airline,o4-mini,GPT-4.1,6f48203331d5,1,3,373753,1567,0,tie,15,15,15,15,False,tie,tie,0,16
airline,o4-mini,GPT-4.1,6f48203331d5,2,0,361454,626729,-1,cost,18,11,18,15,True,B_win,success|cost,3,19
airline,o4-mini,GPT-4.1,6f48203331d5,2,1,361454,373753,-1,cost,18,15,18,17,True,B_win,success|cost,1,19
airline,o4-mini,GPT-4.1,6f48203331d5,2,3,361454,1567,-1,cost,18,15,18,17,True,B_win,success|cost,1,19
airline,o4-mini,GPT-4.1,6f48203331d5,3,0,1567,626729,-1,success,15,11,15,13,True,B_win,success|cost,2,16
airline,o4-mini,GPT-4.1,6f48203331d5,3,1,1567,373753,-1,success,15,15,15,15,False,B_win,success,0,16
airline,o4-mini,GPT-4.1,6f48203331d5,3,2,1567,361454,-1,success,15,14,15,15,False,B_win,success,0,16
airline,o4-mini,GPT-4.1,c2e832464ef1,0,1,626729,373753,0,tie,7,13,13,13,False,tie,tie,0,14
airline,o4-mini,GPT-4.1,c2e832464ef1,0,2,626729,361454,0,tie,7,13,13,13,False,tie,tie,0,14
airline,o4-mini,GPT-4.1,c2e832464ef1,0,3,626729,1567,0,tie,7,17,17,17,False,tie,tie,0,18
airline,o4-mini,GPT-4.1,c2e832464ef1,1,0,373753,626729,0,tie,10,14,14,14,False,tie,tie,0,15
airline,o4-mini,GPT-4.1,c2e832464ef1,1,2,373753,361454,0,tie,10,13,13,13,False,tie,tie,0,14
airline,o4-mini,GPT-4.1,c2e832464ef1,1,3,373753,1567,0,tie,10,17,17,17,False,tie,tie,0,18
airline,o4-mini,GPT-4.1,c2e832464ef1,2,0,361454,626729,1,success,15,14,15,15,False,A_win,success,0,16
airline,o4-mini,GPT-4.1,c2e832464ef1,2,1,361454,373753,1,success,15,13,15,15,False,A_win,success,0,16
airline,o4-mini,GPT-4.1,c2e832464ef1,2,3,361454,1567,1,success,15,17,17,17,False,A_win,success,0,18
airline,o4-mini,GPT-4.1,c2e832464ef1,3,0,1567,626729,0,tie,8,14,14,14,False,tie,tie,0,15
airline,o4-mini,GPT-4.1,c2e832464ef1,3,1,1567,373753,0,tie,8,13,13,13,False,tie,tie,0,14
airline,o4-mini,GPT-4.1,c2e832464ef1,3,2,1567,361454,0,tie,8,13,13,13,False,tie,tie,0,14
airline,o4-mini,GPT-4.1,6e738a777e8c,0,1,626729,373753,1,success,15,14,15,15,False,A_win,success,0,16
airline,o4-mini,GPT-4.1,6e738a777e8c,0,2,626729,361454,1,cost,15,22,22,18,True,A_win,success|cost|tools,4,23
airline,o4-mini,GPT-4.1,6e738a777e8c,0,3,626729,1567,1,cost,15,20,20,16,True,A_win,success|cost|tools,4,21
airline,o4-mini,GPT-4.1,6e738a777e8c,1,0,373753,626729,1,success,16,13,16,16,False,A_win,success,0,17
airline,o4-mini,GPT-4.1,6e738a777e8c,1,2,373753,361454,1,cost,16,22,22,17,True,A_win,success|cost|tools,5,23
airline,o4-mini,GPT-4.1,6e738a777e8c,1,3,373753,1567,1,cost,16,20,20,16,True,A_win,success|cost|tools,4,21
airline,o4-mini,GPT-4.1,6e738a777e8c,2,0,361454,626729,1,success,14,13,14,14,False,A_win,success,0,15
airline,o4-mini,GPT-4.1,6e738a777e8c,2,1,361454,373753,1,success,14,14,14,14,False,A_win,success,0,15
airline,o4-mini,GPT-4.1,6e738a777e8c,2,3,361454,1567,1,cost,14,20,20,15,True,A_win,success|cost|tools,5,21
airline,o4-mini,GPT-4.1,6e738a777e8c,3,0,1567,626729,1,success,15,13,15,15,False,A_win,success,0,16
airline,o4-mini,GPT-4.1,6e738a777e8c,3,1,1567,373753,1,success,15,14,15,15,False,A_win,success,0,16
airline,o4-mini,GPT-4.1,6e738a777e8c,3,2,1567,361454,1,cost,15,22,22,15,True,A_win,success|cost|tools,7,23
airline,o4-mini,GPT-4.1,b900c78cbf08,0,1,626729,373753,-1,cost,14,13,14,13,True,B_win,success|cost,1,15
airline,o4-mini,GPT-4.1,b900c78cbf08,0,2,626729,361454,1,cost,14,16,16,14,True,A_win,success|cost|tools,2,17
airline,o4-mini,GPT-4.1,b900c78cbf08,0,3,626729,1567,-1,cost,14,13,14,13,True,B_win,success|cost,1,15
airline,o4-mini,GPT-4.1,b900c78cbf08,1,0,373753,626729,-1,success,10,14,14,14,False,B_win,success,0,15
airline,o4-mini,GPT-4.1,b900c78cbf08,1,2,373753,361454,-1,success,10,16,16,16,False,B_win,success,0,17
airline,o4-mini,GPT-4.1,b900c78cbf08,1,3,373753,1567,-1,success,10,13,13,13,False,B_win,success,0,14
airline,o4-mini,GPT-4.1,b900c78cbf08,2,0,361454,626729,-1,success,15,14,15,15,False,B_win,success,0,16
airline,o4-mini,GPT-4.1,b900c78cbf08,2,1,361454,373753,-1,success,15,13,15,15,False,B_win,success,0,16
airline,o4-mini,GPT-4.1,b900c78cbf08,2,3,361454,1567,-1,success,15,13,15,15,False,B_win,success,0,16
airline,o4-mini,GPT-4.1,b900c78cbf08,3,0,1567,626729,-1,success,11,14,14,14,False,B_win,success,0,15
airline,o4-mini,GPT-4.1,b900c78cbf08,3,1,1567,373753,-1,success,11,13,13,13,False,B_win,success,0,14
airline,o4-mini,GPT-4.1,b900c78cbf08,3,2,1567,361454,-1,success,11,16,16,16,False,B_win,success,0,17
airline,o4-mini,GPT-4.1,4c5ed4dfe1d8,0,1,626729,373753,0,tie,11,18,18,18,False,tie,tie,0,19
airline,o4-mini,GPT-4.1,4c5ed4dfe1d8,0,2,626729,361454,-1,success,11,15,15,15,False,B_win,success,0,16
airline,o4-mini,GPT-4.1,4c5ed4dfe1d8,0,3,626729,1567,0,tie,11,15,15,15,False,tie,tie,0,16
airline,o4-mini,GPT-4.1,4c5ed4dfe1d8,1,0,373753,626729,1,cost,12,15,15,13,True,A_win,success|cost|tools,2,16
airline,o4-mini,GPT-4.1,4c5ed4dfe1d8,1,2,373753,361454,1,cost,12,15,15,12,True,A_win,success|cost|tools,3,16
airline,o4-mini,GPT-4.1,4c5ed4dfe1d8,1,3,373753,1567,1,success,12,15,15,13,True,A_win,success|cost|tools,2,16
airline,o4-mini,GPT-4.1,4c5ed4dfe1d8,2,0,361454,626729,-1,success,13,15,15,15,False,B_win,success,0,16
airline,o4-mini,GPT-4.1,4c5ed4dfe1d8,2,1,361454,373753,0,tie,13,18,18,18,False,tie,tie,0,19
airline,o4-mini,GPT-4.1,4c5ed4dfe1d8,2,3,361454,1567,0,tie,13,15,15,15,False,tie,tie,0,16
airline,o4-mini,GPT-4.1,4c5ed4dfe1d8,3,0,1567,626729,1,tools,13,15,15,14,True,A_win,success|cost|tools,1,16
airline,o4-mini,GPT-4.1,4c5ed4dfe1d8,3,1,1567,373753,1,success,13,18,18,15,True,A_win,success|cost|tools,3,19
airline,o4-mini,GPT-4.1,4c5ed4dfe1d8,3,2,1567,361454,0,tie,13,15,15,15,False,tie,tie,0,16
airline,o4-mini,GPT-4.1,1844d4c1b5f5,0,1,626729,373753,-1,cost,8,7,8,7,True,B_win,success|cost,1,9
airline,o4-mini,GPT-4.1,1844d4c1b5f5,0,2,626729,361454,1,cost,8,16,16,9,True,A_win,success|cost|tools,7,17
airline,o4-mini,GPT-4.1,1844d4c1b5f5,0,3,626729,1567,1,cost,8,23,23,9,True,A_win,success|cost,14,24
airline,o4-mini,GPT-4.1,1844d4c1b5f5,1,0,373753,626729,1,cost,6,25,25,6,True,A_win,success|cost,19,26
airline,o4-mini,GPT-4.1,1844d4c1b5f5,1,2,373753,361454,1,cost,6,16,16,6,True,A_win,success|cost,10,17
airline,o4-mini,GPT-4.1,1844d4c1b5f5,1,3,373753,1567,1,cost,6,23,23,6,True,A_win,success|cost,17,24
airline,o4-mini,GPT-4.1,1844d4c1b5f5,2,0,361454,626729,1,cost,20,25,25,20,True,A_win,success|cost,5,26
airline,o4-mini,GPT-4.1,1844d4c1b5f5,2,1,361454,373753,-1,cost,20,7,20,7,True,B_win,success|cost,13,21
airline,o4-mini,GPT-4.1,1844d4c1b5f5,2,3,361454,1567,1,cost,20,23,23,20,True,A_win,success|cost,3,24
airline,o4-mini,GPT-4.1,1844d4c1b5f5,3,0,1567,626729,1,cost,5,25,25,5,True,A_win,success|cost,20,26
airline,o4-mini,GPT-4.1,1844d4c1b5f5,3,1,1567,373753,1,cost,5,7,7,5,True,A_win,success|cost,2,8
airline,o4-mini,GPT-4.1,1844d4c1b5f5,3,2,1567,361454,1,cost,5,16,16,5,True,A_win,success|cost,11,17
airline,o4-mini,GPT-4.1,f4e5f0375616,0,1,626729,373753,0,tie,16,14,16,16,False,tie,tie,0,17
airline,o4-mini,GPT-4.1,f4e5f0375616,0,2,626729,361454,0,tie,16,14,16,16,False,tie,tie,0,17
airline,o4-mini,GPT-4.1,f4e5f0375616,0,3,626729,1567,0,tie,16,13,16,16,False,tie,tie,0,17
airline,o4-mini,GPT-4.1,f4e5f0375616,1,0,373753,626729,0,tie,16,15,16,16,False,tie,tie,0,17
airline,o4-mini,GPT-4.1,f4e5f0375616,1,2,373753,361454,0,tie,16,14,16,16,False,tie,tie,0,17
airline,o4-mini,GPT-4.1,f4e5f0375616,1,3,373753,1567,0,tie,16,13,16,16,False,tie,tie,0,17
airline,o4-mini,GPT-4.1,f4e5f0375616,2,0,361454,626729,0,tie,10,15,15,15,False,tie,tie,0,16
airline,o4-mini,GPT-4.1,f4e5f0375616,2,1,361454,373753,0,tie,10,14,14,14,False,tie,tie,0,15
airline,o4-mini,GPT-4.1,f4e5f0375616,2,3,361454,1567,0,tie,10,13,13,13,False,tie,tie,0,14
airline,o4-mini,GPT-4.1,f4e5f0375616,3,0,1567,626729,0,tie,9,15,15,15,False,tie,tie,0,16
airline,o4-mini,GPT-4.1,f4e5f0375616,3,1,1567,373753,0,tie,9,14,14,14,False,tie,tie,0,15
airline,o4-mini,GPT-4.1,f4e5f0375616,3,2,1567,361454,0,tie,9,14,14,14,False,tie,tie,0,15
airline,o4-mini,GPT-4.1,5350cfe51431,0,1,626729,373753,1,cost,11,12,12,11,True,A_win,success|cost,1,13
airline,o4-mini,GPT-4.1,5350cfe51431,0,2,626729,361454,1,cost,11,13,13,11,True,A_win,success|cost,2,14
airline,o4-mini,GPT-4.1,5350cfe51431,0,3,626729,1567,1,cost,11,12,12,11,True,A_win,success|cost,1,13
airline,o4-mini,GPT-4.1,5350cfe51431,1,0,373753,626729,1,cost,13,12,13,13,False,A_win,cost,0,14
airline,o4-mini,GPT-4.1,5350cfe51431,1,2,373753,361454,1,cost,13,13,13,13,False,A_win,cost,0,14
airline,o4-mini,GPT-4.1,5350cfe51431,1,3,373753,1567,1,cost,13,12,13,13,False,A_win,cost,0,14
airline,o4-mini,GPT-4.1,5350cfe51431,2,0,361454,626729,1,tools,13,12,13,13,False,A_win,tools,0,14
airline,o4-mini,GPT-4.1,5350cfe51431,2,1,361454,373753,-1,cost,13,12,13,12,True,B_win,success|cost,1,14
airline,o4-mini,GPT-4.1,5350cfe51431,2,3,361454,1567,-1,cost,13,12,13,12,True,B_win,success|cost,1,14
airline,o4-mini,GPT-4.1,5350cfe51431,3,0,1567,626729,1,cost,12,12,12,12,False,A_win,cost,0,13
airline,o4-mini,GPT-4.1,5350cfe51431,3,1,1567,373753,1,cost,12,12,12,12,False,A_win,cost,0,13
airline,o4-mini,GPT-4.1,5350cfe51431,3,2,1567,361454,1,cost,12,13,13,12,True,A_win,success|cost,1,14
airline,o4-mini,GPT-4.1,e478c25ec0e2,0,1,626729,373753,1,cost,10,11,11,10,True,A_win,success|cost,1,12
airline,o4-mini,GPT-4.1,e478c25ec0e2,0,2,626729,361454,1,cost,10,13,13,10,True,A_win,success|cost,3,14
airline,o4-mini,GPT-4.1,e478c25ec0e2,0,3,626729,1567,1,cost,10,12,12,10,True,A_win,success|cost,2,13
airline,o4-mini,GPT-4.1,e478c25ec0e2,1,0,373753,626729,1,cost,10,12,12,10,True,A_win,success|cost,2,13
airline,o4-mini,GPT-4.1,e478c25ec0e2,1,2,373753,361454,1,cost,10,13,13,10,True,A_win,success|cost,3,14
airline,o4-mini,GPT-4.1,e478c25ec0e2,1,3,373753,1567,1,cost,10,12,12,10,True,A_win,success|cost,2,13
airline,o4-mini,GPT-4.1,e478c25ec0e2,2,0,361454,626729,1,cost,11,12,12,11,True,A_win,success|cost,1,13
airline,o4-mini,GPT-4.1,e478c25ec0e2,2,1,361454,373753,0,tie,11,11,11,11,False,tie,tie,0,12
airline,o4-mini,GPT-4.1,e478c25ec0e2,2,3,361454,1567,1,cost,11,12,12,11,True,A_win,success|cost,1,13
airline,o4-mini,GPT-4.1,e478c25ec0e2,3,0,1567,626729,-1,success,10,12,12,12,False,B_win,success,0,13
airline,o4-mini,GPT-4.1,e478c25ec0e2,3,1,1567,373753,-1,success,10,11,11,11,False,B_win,success,0,12
airline,o4-mini,GPT-4.1,e478c25ec0e2,3,2,1567,361454,-1,success,10,13,13,13,False,B_win,success,0,14
airline,o4-mini,GPT-4.1,70c42588cac0,0,1,626729,373753,1,success,15,12,15,15,False,A_win,success,0,16
airline,o4-mini,GPT-4.1,70c42588cac0,0,2,626729,361454,1,success,15,14,15,15,False,A_win,success,0,16
airline,o4-mini,GPT-4.1,70c42588cac0,0,3,626729,1567,1,success,15,13,15,15,False,A_win,success,0,16
airline,o4-mini,GPT-4.1,70c42588cac0,1,0,373753,626729,-1,success,10,11,11,11,False,B_win,success,0,12
airline,o4-mini,GPT-4.1,70c42588cac0,1,2,373753,361454,0,tie,10,14,14,14,False,tie,tie,0,15
airline,o4-mini,GPT-4.1,70c42588cac0,1,3,373753,1567,0,tie,10,13,13,13,False,tie,tie,0,14
airline,o4-mini,GPT-4.1,70c42588cac0,2,0,361454,626729,-1,cost,17,11,17,11,True,B_win,success|cost,6,18
airline,o4-mini,GPT-4.1,70c42588cac0,2,1,361454,373753,1,success,17,12,17,17,False,A_win,success,0,18
airline,o4-mini,GPT-4.1,70c42588cac0,2,3,361454,1567,1,success,17,13,17,17,False,A_win,success,0,18
airline,o4-mini,GPT-4.1,70c42588cac0,3,0,1567,626729,-1,cost,14,11,14,11,True,B_win,success|cost,3,15
airline,o4-mini,GPT-4.1,70c42588cac0,3,1,1567,373753,1,success,14,12,14,14,False,A_win,success,0,15
airline,o4-mini,GPT-4.1,70c42588cac0,3,2,1567,361454,1,success,14,14,14,14,False,A_win,success,0,15
airline,o4-mini,GPT-4.1,819a7abf2a09,0,1,626729,373753,-1,cost,31,12,31,17,True,B_win,success|cost,14,32
airline,o4-mini,GPT-4.1,819a7abf2a09,0,2,626729,361454,-1,cost,31,10,31,12,True,B_win,success|cost,19,32
