cluster,kind,n_tasks,orientation,task_1,task_2,pass1_variant_task_1,pass1_variant_task_2,score_task_1,score_task_2,score_total,success_diff_task_1,success_diff_task_2,success_diff_total
pair_023,pair,2,1.0,mbpp/451,humaneval/142,single_shot,self_test_repair,-1,1,0,0,1,1
pair_024,pair,2,0.0,mbpp/308,mbpp/401,self_test_repair,single_shot,-1,-1,-2,-1,0,-1
pair_025,pair,2,0.0,humaneval/80,mbpp/306,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_026,pair,2,0.0,humaneval/103,humaneval/130,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_027,pair,2,0.0,humaneval/96,humaneval/29,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_028,pair,2,1.0,mbpp/781,mbpp/476,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_029,pair,2,0.0,mbpp/615,mbpp/111,self_test_repair,single_shot,0,0,0,0,0,0
pair_030,pair,2,0.0,humaneval/79,mbpp/633,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_031,pair,2,1.0,mbpp/447,humaneval/101,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_032,pair,2,1.0,humaneval/100,humaneval/22,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_033,pair,2,1.0,mbpp/260,mbpp/88,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_034,pair,2,1.0,mbpp/294,mbpp/422,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_035,pair,2,0.0,mbpp/291,mbpp/639,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_036,pair,2,0.0,mbpp/138,humaneval/77,self_test_repair,single_shot,0,1,1,0,1,1
pair_037,pair,2,1.0,mbpp/390,mbpp/442,single_shot,self_test_repair,1,0,1,1,0,1
pair_038,pair,2,0.0,humaneval/145,mbpp/125,self_test_repair,single_shot,0,1,1,0,1,1
pair_039,pair,2,0.0,mbpp/446,mbpp/282,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_040,pair,2,1.0,mbpp/168,mbpp/593,single_shot,self_test_repair,-1,-1,-2,0,-1,-1
pair_041,pair,2,0.0,mbpp/629,humaneval/41,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_042,pair,2,0.0,mbpp/305,mbpp/767,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_043,pair,2,1.0,mbpp/124,mbpp/161,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_044,pair,2,0.0,humaneval/13,mbpp/728,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_045,pair,2,0.0,mbpp/292,mbpp/247,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_046,pair,2,0.0,mbpp/641,mbpp/242,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_047,pair,2,0.0,mbpp/725,humaneval/39,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_048,pair,2,0.0,mbpp/77,mbpp/472,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_049,pair,2,1.0,humaneval/78,humaneval/136,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_050,pair,2,0.0,humaneval/49,humaneval/7,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_051,pair,2,0.0,humaneval/38,mbpp/779,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_052,pair,2,0.0,mbpp/799,mbpp/753,self_test_repair,single_shot,-1,0,-1,-1,0,-1
pair_053,pair,2,0.0,humaneval/11,mbpp/404,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_054,pair,2,1.0,mbpp/281,mbpp/96,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_055,pair,2,0.0,mbpp/731,mbpp/91,self_test_repair,single_shot,-1,-1,-2,0,-1,-1
pair_056,pair,2,1.0,humaneval/35,humaneval/153,single_shot,self_test_repair,-1,-1,-2,-1,0,-1
pair_057,pair,2,1.0,humaneval/16,mbpp/732,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_058,pair,2,0.0,humaneval/127,humaneval/66,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_059,pair,2,0.0,mbpp/14,mbpp/270,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_060,pair,2,0.0,mbpp/389,humaneval/9,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_061,pair,2,1.0,humaneval/159,mbpp/66,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_062,pair,2,1.0,mbpp/600,mbpp/253,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_063,pair,2,1.0,mbpp/470,mbpp/56,single_shot,self_test_repair,-1,-1,-2,-1,0,-1
pair_064,pair,2,0.0,mbpp/407,mbpp/479,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_065,pair,2,0.0,mbpp/285,mbpp/612,self_test_repair,single_shot,-1,-1,-2,0,-1,-1
pair_066,pair,2,0.0,mbpp/84,mbpp/62,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_067,pair,2,0.0,mbpp/2,mbpp/92,self_test_repair,single_shot,-1,-1,-2,0,-1,-1
pair_068,pair,2,1.0,mbpp/475,humaneval/163,single_shot,self_test_repair,0,0,0,0,0,0
pair_069,pair,2,0.0,humaneval/154,humaneval/60,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_070,pair,2,0.0,mbpp/106,mbpp/764,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_071,pair,2,0.0,humaneval/69,humaneval/5,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_072,pair,2,1.0,mbpp/614,mbpp/555,single_shot,self_test_repair,0,-1,-1,0,-1,-1
pair_073,pair,2,1.0,mbpp/70,mbpp/230,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_074,pair,2,1.0,mbpp/787,mbpp/140,single_shot,self_test_repair,-1,-1,-2,-1,-1,-2
pair_075,pair,2,1.0,humaneval/111,mbpp/611,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_076,pair,2,0.0,humaneval/36,mbpp/102,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_077,pair,2,0.0,mbpp/791,humaneval/45,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_078,pair,2,1.0,mbpp/461,humaneval/147,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_079,pair,2,1.0,mbpp/300,humaneval/67,single_shot,self_test_repair,-1,-1,-2,-1,0,-1
pair_080,pair,2,1.0,humaneval/28,humaneval/161,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_081,pair,2,0.0,mbpp/740,mbpp/279,self_test_repair,single_shot,-1,1,0,0,1,1
pair_082,pair,2,1.0,mbpp/792,mbpp/748,single_shot,self_test_repair,-1,1,0,0,1,1
pair_083,pair,2,0.0,mbpp/82,humaneval/119,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_084,pair,2,1.0,mbpp/458,mbpp/235,single_shot,self_test_repair,-1,0,-1,0,0,0
pair_085,pair,2,0.0,mbpp/427,mbpp/620,self_test_repair,single_shot,-1,-1,-2,-1,0,-1
pair_086,pair,2,0.0,humaneval/141,mbpp/808,self_test_repair,single_shot,0,1,1,0,1,1
pair_087,pair,2,0.0,mbpp/274,mbpp/118,self_test_repair,single_shot,1,-1,0,1,0,1
pair_088,pair,2,1.0,humaneval/110,mbpp/455,single_shot,self_test_repair,-1,-1,-2,-1,0,-1
pair_089,pair,2,1.0,mbpp/754,mbpp/3,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_090,pair,2,0.0,mbpp/264,mbpp/142,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_091,pair,2,1.0,humaneval/75,humaneval/112,single_shot,self_test_repair,-1,-1,-2,-1,0,-1
pair_092,pair,2,1.0,mbpp/785,mbpp/170,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_093,pair,2,1.0,humaneval/85,humaneval/134,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_094,pair,2,1.0,humaneval/126,mbpp/756,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_095,pair,2,0.0,humaneval/113,mbpp/580,self_test_repair,single_shot,1,0,1,1,0,1
pair_096,pair,2,1.0,mbpp/244,mbpp/452,single_shot,self_test_repair,-1,0,-1,0,0,0
pair_097,pair,2,0.0,mbpp/394,mbpp/741,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_098,pair,2,0.0,mbpp/312,mbpp/602,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_099,pair,2,1.0,humaneval/34,mbpp/295,single_shot,self_test_repair,-1,1,0,0,1,1
pair_100,pair,2,1.0,mbpp/468,humaneval/98,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_101,pair,2,1.0,humaneval/53,mbpp/103,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_102,pair,2,0.0,mbpp/397,mbpp/87,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_103,pair,2,1.0,mbpp/297,mbpp/757,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_104,pair,2,0.0,mbpp/391,mbpp/568,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_105,pair,2,0.0,mbpp/85,mbpp/608,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_106,pair,2,0.0,mbpp/584,humaneval/31,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_107,pair,2,0.0,humaneval/30,mbpp/309,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_108,pair,2,1.0,mbpp/408,mbpp/9,single_shot,self_test_repair,-1,-1,-2,-1,0,-1
pair_109,pair,2,0.0,mbpp/750,mbpp/276,self_test_repair,single_shot,-1,-1,-2,-1,0,-1
pair_110,pair,2,1.0,humaneval/105,mbpp/809,single_shot,self_test_repair,-1,1,0,0,1,1
pair_111,pair,2,1.0,humaneval/123,mbpp/139,single_shot,self_test_repair,1,-1,0,1,0,1
pair_112,pair,2,1.0,humaneval/71,mbpp/450,single_shot,self_test_repair,-1,0,-1,0,0,0
pair_113,pair,2,0.0,mbpp/65,humaneval/27,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_114,pair,2,0.0,humaneval/18,humaneval/99,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_115,pair,2,1.0,mbpp/63,mbpp/590,single_shot,self_test_repair,-1,0,-1,0,0,0
pair_116,pair,2,1.0,humaneval/95,humaneval/107,single_shot,self_test_repair,-1,-1,-2,-1,0,-1
pair_117,pair,2,1.0,mbpp/419,humaneval/83,single_shot,self_test_repair,-1,-1,-2,0,-1,-1
pair_118,pair,2,1.0,mbpp/428,mbpp/644,single_shot,self_test_repair,-1,0,-1,-1,0,-1
pair_119,pair,2,0.0,humaneval/4,mbpp/234,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_120,pair,2,1.0,mbpp/625,mbpp/126,single_shot,self_test_repair,-1,0,-1,0,0,0
pair_121,pair,2,0.0,humaneval/133,mbpp/588,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_122,pair,2,0.0,mbpp/97,mbpp/454,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_123,pair,2,1.0,humaneval/158,mbpp/564,single_shot,self_test_repair,-1,0,-1,0,0,0
pair_124,pair,2,1.0,humaneval/132,mbpp/751,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_125,pair,2,0.0,mbpp/770,mbpp/790,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_126,pair,2,0.0,mbpp/607,mbpp/616,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_127,pair,2,1.0,mbpp/595,humaneval/160,single_shot,self_test_repair,0,0,0,0,0,0
pair_128,pair,2,0.0,humaneval/125,mbpp/71,self_test_repair,single_shot,-1,1,0,0,1,1
pair_129,pair,2,0.0,mbpp/80,mbpp/632,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_130,pair,2,0.0,mbpp/392,mbpp/132,self_test_repair,single_shot,1,-1,0,1,0,1
pair_131,pair,2,0.0,mbpp/273,mbpp/562,self_test_repair,single_shot,0,1,1,0,1,1
pair_132,pair,2,0.0,mbpp/68,humaneval/144,self_test_repair,single_shot,-1,1,0,0,1,1
pair_133,pair,2,0.0,humaneval/137,humaneval/20,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_134,pair,2,0.0,mbpp/7,mbpp/398,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_135,pair,2,0.0,humaneval/8,mbpp/284,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_136,pair,2,0.0,humaneval/32,mbpp/413,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_137,pair,2,0.0,humaneval/122,mbpp/95,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_138,pair,2,0.0,humaneval/37,mbpp/734,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_139,pair,2,1.0,mbpp/240,humaneval/152,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_140,pair,2,1.0,humaneval/124,humaneval/43,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_141,pair,2,0.0,mbpp/747,humaneval/84,self_test_repair,single_shot,-1,-1,-2,-1,0,-1
pair_142,pair,2,0.0,mbpp/557,mbpp/627,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_143,pair,2,0.0,humaneval/42,mbpp/283,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_144,pair,2,1.0,mbpp/120,mbpp/396,single_shot,self_test_repair,-1,0,-1,0,0,0
pair_145,pair,2,1.0,mbpp/797,mbpp/755,single_shot,self_test_repair,-1,0,-1,0,0,0
pair_146,pair,2,0.0,mbpp/597,mbpp/18,self_test_repair,single_shot,0,-1,-1,0,-1,-1
pair_147,pair,2,0.0,mbpp/463,mbpp/269,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_148,pair,2,1.0,mbpp/610,mbpp/265,single_shot,self_test_repair,0,1,1,0,1,1
pair_149,pair,2,0.0,mbpp/777,humaneval/0,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_150,pair,2,1.0,mbpp/745,mbpp/257,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_151,pair,2,0.0,mbpp/249,mbpp/583,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_152,pair,2,0.0,mbpp/227,mbpp/762,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_153,pair,2,0.0,mbpp/619,mbpp/266,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_154,pair,2,1.0,humaneval/72,humaneval/143,single_shot,self_test_repair,-1,0,-1,0,0,0
pair_155,pair,2,0.0,mbpp/438,humaneval/3,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_156,pair,2,1.0,mbpp/301,mbpp/129,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_157,pair,2,0.0,mbpp/759,mbpp/255,self_test_repair,single_shot,1,-1,0,1,-1,0
pair_158,pair,2,0.0,mbpp/417,mbpp/464,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_159,pair,2,0.0,mbpp/262,mbpp/724,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_160,pair,2,0.0,mbpp/271,humaneval/70,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_161,pair,2,0.0,humaneval/14,mbpp/421,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_162,pair,2,0.0,mbpp/457,mbpp/566,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_163,pair,2,0.0,humaneval/15,mbpp/277,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_164,pair,2,0.0,mbpp/794,mbpp/572,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_165,pair,2,0.0,mbpp/477,mbpp/434,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_166,pair,2,1.0,mbpp/445,mbpp/426,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_167,pair,2,0.0,mbpp/800,mbpp/226,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_168,pair,2,0.0,mbpp/737,humaneval/26,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_169,pair,2,1.0,mbpp/444,humaneval/44,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_170,pair,2,0.0,humaneval/94,mbpp/425,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_171,pair,2,1.0,mbpp/780,humaneval/128,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_172,pair,2,0.0,mbpp/400,humaneval/115,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_173,pair,2,0.0,mbpp/576,humaneval/157,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_174,pair,2,0.0,mbpp/261,mbpp/59,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_175,pair,2,0.0,mbpp/130,mbpp/624,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_176,pair,2,0.0,mbpp/581,mbpp/89,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_177,pair,2,0.0,humaneval/47,mbpp/412,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_178,pair,2,1.0,humaneval/104,humaneval/68,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_179,pair,2,1.0,mbpp/582,mbpp/803,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_180,pair,2,1.0,mbpp/766,humaneval/114,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_181,pair,2,0.0,mbpp/563,mbpp/248,self_test_repair,single_shot,-1,-1,-2,-1,0,-1
pair_182,pair,2,1.0,mbpp/743,mbpp/409,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_183,pair,2,0.0,mbpp/730,humaneval/93,self_test_repair,single_shot,-1,1,0,0,1,1
pair_184,pair,2,0.0,mbpp/554,humaneval/12,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_185,pair,2,1.0,mbpp/742,mbpp/272,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_186,pair,2,0.0,mbpp/229,mbpp/420,self_test_repair,single_shot,1,1,2,1,1,2
pair_187,pair,2,0.0,mbpp/145,mbpp/143,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_188,pair,2,1.0,mbpp/133,mbpp/630,single_shot,self_test_repair,-1,0,-1,0,0,0
pair_189,pair,2,0.0,mbpp/788,humaneval/86,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_190,pair,2,1.0,mbpp/259,humaneval/106,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_191,pair,2,1.0,mbpp/287,mbpp/726,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_192,pair,2,0.0,mbpp/462,mbpp/786,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_193,pair,2,0.0,humaneval/73,mbpp/411,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_194,pair,2,1.0,humaneval/148,mbpp/579,single_shot,self_test_repair,-1,-1,-2,0,-1,-1
pair_195,pair,2,1.0,mbpp/643,mbpp/739,single_shot,self_test_repair,1,-1,0,1,-1,0
pair_196,pair,2,1.0,mbpp/222,mbpp/267,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_197,pair,2,1.0,mbpp/640,humaneval/52,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_198,pair,2,0.0,mbpp/245,mbpp/310,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_199,pair,2,0.0,mbpp/311,mbpp/250,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_200,pair,2,1.0,mbpp/596,mbpp/223,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_201,pair,2,0.0,mbpp/623,mbpp/558,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_202,pair,2,1.0,mbpp/429,humaneval/89,single_shot,self_test_repair,0,1,1,0,1,1
pair_203,pair,2,0.0,mbpp/433,humaneval/25,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_204,pair,2,1.0,mbpp/290,humaneval/50,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_205,pair,2,0.0,humaneval/121,mbpp/163,self_test_repair,single_shot,1,-1,0,1,0,1
pair_206,pair,2,0.0,mbpp/585,mbpp/603,self_test_repair,single_shot,-1,0,-1,-1,0,-1
pair_207,pair,2,1.0,humaneval/97,mbpp/20,single_shot,self_test_repair,-1,0,-1,0,0,0
pair_208,pair,2,1.0,humaneval/51,mbpp/772,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_209,pair,2,0.0,humaneval/150,humaneval/10,self_test_repair,single_shot,-1,1,0,0,1,1
pair_210,pair,2,0.0,mbpp/567,mbpp/19,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_211,pair,2,1.0,mbpp/431,mbpp/760,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_212,pair,2,1.0,mbpp/758,mbpp/784,single_shot,self_test_repair,-1,1,0,0,1,1
pair_213,pair,2,0.0,mbpp/6,mbpp/131,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_214,pair,2,0.0,mbpp/8,mbpp/628,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_215,pair,2,0.0,mbpp/436,mbpp/796,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_216,pair,2,1.0,mbpp/574,humaneval/56,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_217,pair,2,0.0,mbpp/577,mbpp/578,self_test_repair,single_shot,1,-1,0,1,0,1
pair_218,pair,2,0.0,mbpp/586,mbpp/432,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_219,pair,2,0.0,mbpp/733,mbpp/771,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_220,pair,2,1.0,mbpp/474,humaneval/6,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_221,pair,2,1.0,mbpp/135,humaneval/90,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_222,pair,2,0.0,mbpp/4,mbpp/237,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_223,pair,2,1.0,mbpp/113,humaneval/1,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_224,pair,2,1.0,mbpp/765,humaneval/17,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_225,pair,2,0.0,mbpp/79,mbpp/86,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_226,pair,2,0.0,mbpp/744,mbpp/74,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_227,pair,2,1.0,mbpp/631,mbpp/280,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_228,pair,2,0.0,humaneval/74,mbpp/405,self_test_repair,single_shot,-1,-1,-2,0,-1,-1
pair_229,pair,2,1.0,mbpp/93,mbpp/115,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_230,pair,2,0.0,mbpp/556,mbpp/72,self_test_repair,single_shot,-1,1,0,0,1,1
pair_231,pair,2,0.0,mbpp/83,mbpp/776,self_test_repair,single_shot,0,0,0,0,0,0
pair_232,pair,2,0.0,mbpp/560,mbpp/471,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_233,pair,2,1.0,humaneval/117,mbpp/459,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_234,pair,2,0.0,mbpp/415,mbpp/456,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_235,pair,2,0.0,humaneval/59,mbpp/105,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_236,pair,2,1.0,mbpp/67,mbpp/388,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_237,pair,2,0.0,mbpp/424,mbpp/11,self_test_repair,single_shot,1,-1,0,1,0,1
pair_238,pair,2,0.0,mbpp/162,humaneval/162,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_239,pair,2,0.0,mbpp/448,mbpp/749,self_test_repair,single_shot,-1,0,-1,-1,0,-1
pair_240,pair,2,1.0,mbpp/252,humaneval/138,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_241,pair,2,1.0,mbpp/599,mbpp/233,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_242,pair,2,0.0,mbpp/17,mbpp/736,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_243,pair,2,1.0,mbpp/109,mbpp/406,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_244,pair,2,1.0,mbpp/224,mbpp/232,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_245,pair,2,1.0,mbpp/806,humaneval/81,single_shot,self_test_repair,-1,-1,-2,-1,0,-1
pair_246,pair,2,0.0,mbpp/782,mbpp/443,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_247,pair,2,1.0,humaneval/139,mbpp/293,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_248,pair,2,1.0,mbpp/437,humaneval/146,single_shot,self_test_repair,0,1,1,0,1,1
pair_249,pair,2,0.0,mbpp/440,humaneval/135,self_test_repair,single_shot,0,-1,-1,0,-1,-1
pair_250,pair,2,1.0,mbpp/783,mbpp/805,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_251,pair,2,0.0,mbpp/565,humaneval/82,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_252,pair,2,0.0,mbpp/587,humaneval/19,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_253,pair,2,0.0,mbpp/137,mbpp/239,self_test_repair,single_shot,-1,-1,-2,0,-1,-1
